judul,tahun,topic,probability,topic_name
state space control using lqr method for a cart inverted pendulum linearised model,2017,-1,0.0,-1_dan_the_and_of
analisis kandungan dari pasir pantai peh pulo kabupaten blitar menggunakan xrf dan xrd,2019,26,1.0,26_sediment_susceptibility_sediments_geochemical
multimodal literacy unfolding reading path in children s picture book and its potential for efl classrooms,2020,9,1.0,9_reading_membaca_comprehension_literasi
kajian karakteristik petani dan potensi pemanfaatan lahan pertanian hortikultura desa sumber brantas kota batu,2021,110,1.0,110_petani_pertanian_farmer_lahan
strategi pengembangan wisata melalui potensi wilayah studi kasus jamun spot sunset jss desa poncokusumo kabupaten malang,2021,2,1.0,2_tourism_wisata_ecotourism_sustainable
kajian potensi sosial budaya dan strategi pengembangan pariwisata berbasis rapid rural appraisal di desa ranupani kabupaten lumajang jawa timur,2022,2,1.0,2_tourism_wisata_ecotourism_sustainable
upaya peningkatan kesadaran terhadap bencana letusan gunung kelud di desa batuaji kabupaten kediri,2021,78,0.49732702804816176,78_landslide_volcano_hazard_earthquake
edukasi literasi media digital kepada pengurus osis sma nasional malang untuk pencegahan cyberbullying di masa pandemi,2021,103,0.6400930658905085,103_listening_literacy_critical_extensive
pembuatan video profil sebagai penguat identitas dan sarana promosi di ukm verte bleue spirulina kota malang,2021,7,0.5272454828060577,7_brand_marketing_customer_consumer
educators professional ability to manage online learning during the covid 19 pandemic,2021,11,0.7181292493634244,11_pandemic_covid_19_during
tantangan guru sma ma melakukan implementasi pembelajaran kewirausahan pada masa pandemi covid 19 di jawa timur,2021,11,0.8024860511978843,11_pandemic_covid_19_during
analisis interaksi sosial antar peserta didik non berkebutuhan khusus dan berkebutuhan khusus pada sma inklusi dalam konteks pendidikan multikultural,2018,22,0.13862174833543778,22_karakter_character_pendidikan_nilai
migrant street vendors and their impacts in pasar anyar bogor city,2017,-1,0.0,-1_dan_the_and_of
simple authentication method for vehicle monitoring iot device with verifiable data integrity,2022,62,1.0,62_monitoring_iot_electrical_listrik
iot based less contact system on sauce production for small enterprises,2021,-1,0.0,-1_dan_the_and_of
image processing system for ph classification using biosensors,2021,-1,0.0,-1_dan_the_and_of
cascaded h bridge dual active switched capacitor quasi z source inverter,2020,4,1.0,4_power_voltage_grid_harmonic
the new intelligent wireless sensor network using artificial intelligence for building fire disasters,2020,-1,0.0,-1_dan_the_and_of
an automatic tuning scaling factor of pid fuzzy controller for frequency regulation of an off grid renewable power system,2020,-1,0.0,-1_dan_the_and_of
interconnection of battery charging station and renewable energy in electrical power system,2020,4,1.0,4_power_voltage_grid_harmonic
heat transfer analysis of three phase transformer considering unpredictable load demand changes,2020,4,0.9126341972743947,4_power_voltage_grid_harmonic
the downstream speed estimation of the wind farm energy harvesting considering a random surface roug,2020,-1,0.0,-1_dan_the_and_of
review of cigs based solar cells manufacturing by structural engineering,2020,109,0.44100849077266824,109_sensitized_dye_solar_cell
the effect of spincoating speed on znonr microstructure and it s potential of znonr aluminum foil el,2020,-1,0.0,-1_dan_the_and_of
penerapan teknologi pompa air bertenaga surya untuk layanan masyarakat pesantren,2020,-1,0.0,-1_dan_the_and_of
adaptive power management for self powered iot on smart shoes,2020,-1,0.0,-1_dan_the_and_of
annealing temperature effect of zno seed layer on integrated photosupercapacitor performance,2020,-1,0.0,-1_dan_the_and_of
synchronization of heart sounds with pulse from dorsalis pedis for s1 and s2 detection,2020,-1,0.0,-1_dan_the_and_of
an experimental test of the effect of cup diameter on the power performance of novel design hc type vawt,2020,4,1.0,4_power_voltage_grid_harmonic
corrosion resistance analysis of st37 carbon steel material using phosphate conversion coating in va,2020,-1,0.0,-1_dan_the_and_of
dual active switched capacitor quasi z source inverter,2019,4,1.0,4_power_voltage_grid_harmonic
enhanced boost active switched impedance quasi z source inverter,2019,4,0.8904371530321408,4_power_voltage_grid_harmonic
natural obstacles and biological salmon behaviors link to modelling approaches of computational inte,2019,240,0.8709090859058105,240_salmon_tracking_artificial_optimal
effect of bureaucracy on road performance case study on indonesian regency roads ,2019,133,0.7312516373101376,133_road_jalan_maintenance_kecelakaan
